No.,Name,Points,Errors,In-Play,Attempts,%
 8,De SOUZA Wallace,20.0,3,16,39,43.59
 9,LEAL HIDALGO Yoandy,18.0,6,10,34,35.29
18,SOUZA Ricardo Lucarelli,20.0,7,12,39,33.33
16,SAATKAMP Lucas,12.0,2,3,17,
13,De SOUZA Mauricio Luiz,6.0,2,2,10,
14,CORREIA De SOUZA Douglas,2.0,2,3,7,
21,SOUZA Alan,1.0,,, 1,
1,REZENDE Bruno Mossa,,,, ,
5,BORGES ALMEIDA SILVA Mauricio,,,, ,
6,GIL KRELING Fernando,,,, ,
12,SANTOS Isac,,,, ,
17,HOSS Thales,,,, ,
ls,,79.0,22,46,147,38.78
