No.,Name,Excellents,Errors,In-Play,Attempts,%
18,KLIUKA Egor,11,, 2,13,84.62
 7,VOLKOV Dmitry,9,1.0,4,14,64.29
27,GOLUBEV Valentin,7,, 7,14,50.0
1,PODLESNYKH Yaroslav,2,, 2,4,
17,MIKHAYLOV Maxim,,, 1,1,
9,IAKOVLEV Ivan,,1.0,, 1,
4,VOLVICH Artem,,,, ,
10,BOGDAN Denis,,,, ,
11,PANKOV Pavel,,,, ,
15,POLETAEV Victor,,,, ,
20,KURKAEV Ilyas,,,, ,
24,KOBZAR Igor,,,, ,
ls,,29,2.0,16,47,61.7
