No.,Name,Excellents,Errors,In-Play,Attempts,%
 2,EBADIPOUR GHARA H. Milad,19,3.0,6,28,67.86
19,MARANDI Mahdi,14,, 11,25,56.0
17,SALEHI Meisam,3,1.0,10,14,
4,MAROUFLAKRANI Mir Saeid,,, 2,2,
6,MOUSAVI ERAGHI Seyed Mohammad,1,, 1,2,
12,SHARIFI Morteza,2,,, 2,
15,MOJARAD Aliasghar,1,,, 1,
10,GHAFOUR Amir,,1.0,, 1,
9,GHOLAMI Masoud,,,, ,
11,KAZEMI Saber,,,, ,
21,SALEHI Arman,,,, ,
24,KARIMISOUCHELMAEI Javad,,,, ,
ls,,40,5.0,30,75,53.33
