No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 9,CARRASCO ANGULO Jose Manuel,19,1.0,34,54,6.33
 4,MATA Hector,2,, 5,7,0.67
 1,VELAZQUEZ ESCALANTE Armando Fernan.,1,, 5,6,0.33
 7,VALENCIA GONZALEZ Edson Alberto,1,, 2,3,0.33
 5,RODRIGUEZ GONZALEZ Emerson Alexand.,1,,, 1,0.33
17,FAYOLA HURTADO Ronald Daniel,,, 3,3,0.0
14,CANELO SANCHEZ Eliecer Alfonso,,, 1,1,0.0
15,ARIAS GUZMAN Luis Antonio,,, 1,1,0.0
3,GONZALEZ Fernando,,,, ,
6,ORAMAS BRIZUELA Robert Manuel,,,, ,
11,VERDI Jose,,,, ,
19,RIVAS QUIJADA Willner Enrique,,,, ,
ls,,24,1.0,51,76,8.0
