,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0,17,HOSS Thales,9,5.0,4,18,3.0
1, 8,De SOUZA Wallace,5,2.0,2,9,1.67
2, 9,LEAL HIDALGO Yoandy,4,1.0,, 5,1.33
3,18,SOUZA Ricardo Lucarelli,3,5.0,3,11,1.0
4, 1,REZENDE Bruno Mossa,2,1.0,, 3,0.67
5,16,SAATKAMP Lucas,1,, 2,3,0.33
6,13,De SOUZA Mauricio Luiz,1,,, 1,0.33
7,5,BORGES ALMEIDA SILVA Mauricio,,,, ,
8,6,GIL KRELING Fernando,,,, ,
9,12,SANTOS Isac,,,, ,
10,14,CORREIA De SOUZA Douglas,,,, ,
11,21,SOUZA Alan,,,, ,
12,ls,,25,14.0,11,50,8.33
