No.,Name,Excellents,Errors,In-Play,Attempts,%
 4,HOAG Nicholas,8,1.0,1,10,80.0
19,BANN Blair Cameron,8,1.0,3,12,66.67
 7,MAAR Stephen Timothy,8,, 6,14,57.14
17,VIGRASS Graham,1,,, 1,
1,SANDERS Tyler,,,, ,
2,PERRIN John Gordon,,,, ,
3,MARSHALL Steven,,,, ,
9,BLANKENAU Jay,,,, ,
10,SCLATER Ryan Joseph,,,, ,
12,van BERKEL Lucas,,,, ,
13,VERNONEVANS Sharone,,,, ,
20,SZWARC Arthur,,,, ,
ls,,25,2.0,10,37,67.57
