No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
15,de CECCO Luciano,50,, 43,93,10.0
 7,CONTE Facundo,4,, 2,6,0.8
 1,SANCHEZ Matias,2,, 4,6,0.4
 8,LOSER Agustin,1,, 2,3,0.2
 6,POGLAJEN Cristian,1,, 1,2,0.2
13,PALACIOS Ezequiel,,, 3,3,0.0
11,SOLE Sebastian,,, 2,2,0.0
12,LIMA Bruno,,, 2,2,0.0
 9,DANANI Santiago,,, 1,1,0.0
2,PEREYRA Federico,,,, ,
17,MENDEZ Nicolas,,,, ,
18,RAMOS Martin,,,, ,
ls,,58,,60,118,11.6
