,TotalRk No.,Name,Points,Errors,In-Play,Attempts,%
0,13,PALACIOS Ezequiel,14.0,2,8,24,50.0
1, 7,CONTE Facundo,17.0,7,11,35,28.57
2,12,LIMA Bruno,12.0,8,7,27,14.81
3,11,SOLE Sebastian,8.0,, 9,17,
4,8,LOSER Agustin,3.0,1,4,8,
5,6,POGLAJEN Cristian,4.0,1,2,7,
6,15,de CECCO Luciano,3.0,,, 3,
7,2,PEREYRA Federico,1.0,2,, 3,
8,1,SANCHEZ Matias,,,, ,
9,9,DANANI Santiago,,,, ,
10,17,MENDEZ Nicolas,,,, ,
11,18,RAMOS Martin,,,, ,
12,ls,,62.0,21,41,124,33.06
