No.,Name,Points,Errors,In-Play,Attempts,%
 7,MAAR Stephen Timothy,10.0,1,5,16,56.25
 4,HOAG Nicholas,11.0,4,7,22,31.82
13,VERNONEVANS Sharone,5.0,1,3,9,
10,SCLATER Ryan Joseph,3.0,1,2,6,
12,van BERKEL Lucas,5.0,1,, 6,
17,VIGRASS Graham,3.0,, 2,5,
1,SANDERS Tyler,,,, ,
2,PERRIN John Gordon,,,, ,
3,MARSHALL Steven,,,, ,
9,BLANKENAU Jay,,,, ,
19,BANN Blair Cameron,,,, ,
20,SZWARC Arthur,,,, ,
ls,,37.0,8,19,64,45.31
