No.,Name,Points,Errors,In-Play,Attempts,%
10,NAGGA Hamza,6.0,2,4,12,33.33
11,MOALLA Ismail,8.0,5,3,16,18.75
15,BEN TARA Wassim,5.0,4,7,16,6.25
6,BEN OTHMEN MILADI Mohamed Ali,2.0,3,7,12,
2,KADHI Ahmed,3.0,2,5,10,
7,KARAMOSLI Elyes,2.0,3,1,6,
9,AGREBI Omar,2.0,1,1,4,
19,BOUGUERRA Aymen,, 2,, 2,
3,BEN SLIMENE Khaled,, 1,, 1,
12,BEN CHEIKH Mehdi,,,, ,
13,MBAREKI Selim,,,, ,
20,HMISSI Saddem,,,, ,
ls,,28.0,23,28,79,6.33
