No.,Name,Points,Errors,In-Play,Total Attempts,by Set
15,BEN TARA Wassim,1.0,2,5,8,0.25
 3,BEN SLIMENE Khaled,, 2,16,18,0.0
 2,KADHI Ahmed,, 1,11,12,0.0
11,MOALLA Ismail,, 4,8,12,0.0
 6,BEN OTHMEN MILADI Mohamed Ali,, 1,10,11,0.0
 9,AGREBI Omar,,, 5,5,0.0
13,MBAREKI Selim,,, 4,4,0.0
 7,KARAMOSLI Elyes,, 1,3,4,0.0
10,NAGGA Hamza,, 1,1,2,0.0
19,BOUGUERRA Aymen,, 1,, 1,0.0
12,BEN CHEIKH Mehdi,,,, ,
20,HMISSI Saddem,,,, ,
ls,,1.0,13,63,77,0.25
