,TotalRk No.,Name,Points,Errors,In-Play,Attempts,%
0, 9,LEAL HIDALGO Yoandy,15.0,2,5,22,59.09
1,18,SOUZA Ricardo Lucarelli,12.0,1,10,23,47.83
2, 8,De SOUZA Wallace,9.0,5,8,22,18.18
3,16,SAATKAMP Lucas,6.0,1,1,8,
4,13,De SOUZA Mauricio Luiz,4.0,, 2,6,
5,1,REZENDE Bruno Mossa,,, 1,1,
6,12,SANTOS Isac,1.0,,, 1,
7,5,BORGES ALMEIDA SILVA Mauricio,,,, ,
8,6,GIL KRELING Fernando,,,, ,
9,14,CORREIA De SOUZA Douglas,,,, ,
10,17,HOSS Thales,,,, ,
11,21,SOUZA Alan,,,, ,
12,ls,,47.0,9,27,83,45.78
