No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 9,NGAPETH Earvin,7,3.0,2,12,1.4
11,BRIZARD Antoine,4,4.0,3,11,0.8
17,CLEVENOT Trevor,4,5.0,, 9,0.8
 2,GREBENNIKOV Jenia,3,6.0,3,12,0.6
 4,PATRY Jean,3,7.0,1,11,0.6
 6,TONIUTTI Benjamin,2,2.0,, 4,0.4
 1,CHINENYEZE Barthelemy,1,2.0,1,4,0.2
14,le GOFF Nicolas,1,3.0,, 4,0.2
7,TILLIE Kevin,,,, ,
12,BOYER Stephen,,,, ,
16,BULTOR Daryl,,,, ,
19,LOUATI Yacine,,,, ,
ls,,25,32.0,10,67,5.0
