No.,Name,Points,Errors,In-Play,Total Attempts,by Set
16,SAATKAMP Lucas,2.0,6,5,13,0.67
13,De SOUZA Mauricio Luiz,2.0,5,4,11,0.67
 8,De SOUZA Wallace,1.0,4,2,7,0.33
18,SOUZA Ricardo Lucarelli,1.0,1,, 2,0.33
 9,LEAL HIDALGO Yoandy,, 2,2,4,0.0
 1,REZENDE Bruno Mossa,, 2,1,3,0.0
12,SANTOS Isac,,, 1,1,0.0
14,CORREIA De SOUZA Douglas,,, 1,1,0.0
21,SOUZA Alan,, 1,, 1,0.0
5,BORGES ALMEIDA SILVA Mauricio,,,, ,
6,GIL KRELING Fernando,,,, ,
17,HOSS Thales,,,, ,
ls,,6.0,21,16,43,2.0
