,TotalRk No.,Name,Excellents,Errors,In-Play,Attempts,%
0,17,CLEVENOT Trevor,15,1.0,9,25,60.0
1, 9,NGAPETH Earvin,17,, 16,33,51.52
2, 2,GREBENNIKOV Jenia,13,1.0,13,27,48.15
3,14,le GOFF Nicolas,1,,, 1,
4,1,CHINENYEZE Barthelemy,,,, ,
5,4,PATRY Jean,,,, ,
6,6,TONIUTTI Benjamin,,,, ,
7,7,TILLIE Kevin,,,, ,
8,11,BRIZARD Antoine,,,, ,
9,12,BOYER Stephen,,,, ,
10,16,BULTOR Daryl,,,, ,
11,19,LOUATI Yacine,,,, ,
12,ls,,46,2.0,38,86,53.49
