,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0, 2,KADHI Ahmed,2.0,7,4,13,0.67
1, 9,AGREBI Omar,2.0,5,3,10,0.67
2,15,BEN TARA Wassim,2.0,,, 2,0.67
3, 6,BEN OTHMEN MILADI Mohamed Ali,1.0,3,4,8,0.33
4, 3,BEN SLIMENE Khaled,1.0,5,1,7,0.33
5, 7,KARAMOSLI Elyes,, 4,1,5,0.0
6,11,MOALLA Ismail,, 1,1,2,0.0
7,10,NAGGA Hamza,,, 1,1,0.0
8,12,BEN CHEIKH Mehdi,,,, ,
9,13,MBAREKI Selim,,,, ,
10,19,BOUGUERRA Aymen,,,, ,
11,20,HMISSI Saddem,,,, ,
12,ls,,8.0,25,15,48,2.67
