No.,Name,Points,Errors,In-Play,Attempts,%
 9,LEAL HIDALGO Yoandy,17.0,4,12,33,39.39
 8,De SOUZA Wallace,12.0,6,13,31,19.35
21,SOUZA Alan,7.0,2,8,17,
18,SOUZA Ricardo Lucarelli,8.0,3,6,17,
16,SAATKAMP Lucas,9.0,1,3,13,
12,SANTOS Isac,1.0,3,3,7,
14,CORREIA De SOUZA Douglas,4.0,1,1,6,
13,De SOUZA Mauricio Luiz,2.0,, 2,4,
1,REZENDE Bruno Mossa,,, 1,1,
6,GIL KRELING Fernando,,, 1,1,
5,BORGES ALMEIDA SILVA Mauricio,,,, ,
17,HOSS Thales,,,, ,
ls,,60.0,20,50,130,30.77
