No.,Name,Points,Errors,In-Play,Attempts,%
21,TAKAHASHI Ran,10.0,, 4,14,71.43
14,ISHIKAWA Yuki,13.0,1,6,20,60.0
11,NISHIDA Yuji,6.0,3,7,16,18.75
6,YAMAUCHI Akihiro,4.0,, 3,7,
2,ONODERA Taishi,5.0,1,, 6,
1,SHIMIZU Kunihiro,3.0,,, 3,
15,RI Haku,1.0,,, 1,
17,TAKANASHI Kenta,,-, 1,1,
3,FUJII Naonobu,,-,, ,
12,SEKITA Masahiro,,-,, ,
19,OTSUKA Tatsunori,,-,, ,
20,YAMAMOTO Tomohiro,,-,, ,
ls,,42.0,5,21,68,54.41
