,TotalRk No.,Name,Points,Errors,In-Play,Attempts,%
0, 6,BEN OTHMEN MILADI Mohamed Ali,11.0,2,7,20,45.0
1,15,BEN TARA Wassim,20.0,6,14,40,35.0
2,11,MOALLA Ismail,8.0,6,4,18,11.11
3,2,KADHI Ahmed,8.0,2,7,17,
4,13,MBAREKI Selim,5.0,1,2,8,
5,9,AGREBI Omar,2.0,1,2,5,
6,19,BOUGUERRA Aymen,3.0,1,, 4,
7,3,BEN SLIMENE Khaled,2.0,,, 2,
8,7,KARAMOSLI Elyes,1.0,,, 1,
9,10,NAGGA Hamza,,,, ,
10,12,BEN CHEIKH Mehdi,,,, ,
11,20,HMISSI Saddem,,,, ,
12,ls,,60.0,19,36,115,35.65
