No.,Name,Points,Errors,In-Play,Attempts,%
 4,PATRY Jean,7.0,2,4,13,38.46
12,BOYER Stephen,6.0,3,3,12,25.0
 9,NGAPETH Earvin,8.0,5,3,16,18.75
7,TILLIE Kevin,2.0,1,7,10,
1,CHINENYEZE Barthelemy,5.0,, 2,7,
17,CLEVENOT Trevor,3.0,1,1,5,
14,le GOFF Nicolas,2.0,3,, 5,
11,BRIZARD Antoine,, 1,, 1,
2,GREBENNIKOV Jenia,,,, ,
6,TONIUTTI Benjamin,,,, ,
16,BULTOR Daryl,,,, ,
19,LOUATI Yacine,,,, ,
ls,,33.0,16,20,69,24.64
