,TotalRk No.,Name,Points,Errors,In-Play,Attempts,%
0,17,SALEHI Meisam,23.0,2,11,36,58.33
1,10,GHAFOUR Amir,12.0,2,7,21,47.62
2,11,KAZEMI Saber,10.0,5,5,20,25.0
3, 2,EBADIPOUR GHARA H. Milad,13.0,6,13,32,21.88
4,6,MOUSAVI ERAGHI Seyed Mohammad,8.0,2,3,13,
5,15,MOJARAD Aliasghar,6.0,, 1,7,
6,4,MAROUFLAKRANI Mir Saeid,,,, ,
7,9,GHOLAMI Masoud,,,, ,
8,12,SHARIFI Morteza,,,, ,
9,19,MARANDI Mahdi,,,, ,
10,21,SALEHI Arman,,,, ,
11,24,KARIMISOUCHELMAEI Javad,,,, ,
12,ls,,72.0,17,40,129,42.64
