,TotalRk No.,Name,Points,Errors,In-Play,Attempts,%
0,10,NAGGA Hamza,6.0,2,4,12,33.33
1,11,MOALLA Ismail,8.0,5,3,16,18.75
2,15,BEN TARA Wassim,5.0,4,7,16,6.25
3,6,BEN OTHMEN MILADI Mohamed Ali,2.0,3,7,12,
4,2,KADHI Ahmed,3.0,2,5,10,
5,7,KARAMOSLI Elyes,2.0,3,1,6,
6,9,AGREBI Omar,2.0,1,1,4,
7,19,BOUGUERRA Aymen,, 2,, 2,
8,3,BEN SLIMENE Khaled,, 1,, 1,
9,12,BEN CHEIKH Mehdi,,,, ,
10,13,MBAREKI Selim,,,, ,
11,20,HMISSI Saddem,,,, ,
12,ls,,28.0,23,28,79,6.33
