No.,Name,Excellents,Errors,In-Play,Attempts,%
 7,TILLIE Kevin,9,1.0,5,15,60.0
 9,NGAPETH Earvin,10,, 12,22,45.45
2,GREBENNIKOV Jenia,8,, 3,11,
1,CHINENYEZE Barthelemy,2,, 1,3,
17,CLEVENOT Trevor,1,, 1,2,
6,TONIUTTI Benjamin,,, 1,1,
11,BRIZARD Antoine,,, 1,1,
4,PATRY Jean,,,, ,
12,BOYER Stephen,,,, ,
14,le GOFF Nicolas,,,, ,
16,BULTOR Daryl,,,, ,
19,LOUATI Yacine,,,, ,
ls,,30,1.0,24,55,54.55
