No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
21,SALEHI Arman,7,5.0,2,14,1.4
17,SALEHI Meisam,7,6.0,, 13,1.4
 2,EBADIPOUR GHARA H. Milad,6,9.0,2,17,1.2
19,MARANDI Mahdi,5,8.0,, 13,1.0
24,KARIMISOUCHELMAEI Javad,3,2.0,1,6,0.6
11,KAZEMI Saber,3,1.0,1,5,0.6
 6,MOUSAVI ERAGHI Seyed Mohammad,2,4.0,, 6,0.4
10,GHAFOUR Amir,2,1.0,1,4,0.4
15,MOJARAD Aliasghar,1,6.0,1,8,0.2
 4,MAROUFLAKRANI Mir Saeid,1,2.0,, 3,0.2
9,GHOLAMI Masoud,,,, ,
12,SHARIFI Morteza,,,, ,
ls,,37,44.0,8,89,7.4
