,TotalRk No.,Name,Points,Errors,In-Play,Attempts,%
0, 7,CONTE Facundo,13.0,3,10,26,38.46
1,13,PALACIOS Ezequiel,4.0,2,9,15,13.33
2,12,LIMA Bruno,10.0,8,2,20,10.0
3,11,SOLE Sebastian,6.0,1,3,10,
4,8,LOSER Agustin,6.0,3,1,10,
5,6,POGLAJEN Cristian,1.0,, 1,2,
6,15,de CECCO Luciano,,, 1,1,
7,1,SANCHEZ Matias,,,, ,
8,2,PEREYRA Federico,,,, ,
9,9,DANANI Santiago,,,, ,
10,17,MENDEZ Nicolas,,,, ,
11,18,RAMOS Martin,,,, ,
12,ls,,40.0,17,27,84,27.38
