,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0, 9,IAKOVLEV Ivan,3.0,10,8,21,0.75
1,17,MIKHAYLOV Maxim,2.0,3,4,9,0.5
2,20,KURKAEV Ilyas,1.0,4,2,7,0.25
3, 7,VOLKOV Dmitry,1.0,2,1,4,0.25
4, 4,VOLVICH Artem,, 6,7,13,0.0
5,18,KLIUKA Egor,, 2,3,5,0.0
6,24,KOBZAR Igor,, 3,1,4,0.0
7, 1,PODLESNYKH Yaroslav,,, 2,2,0.0
8,10,BOGDAN Denis,,,, ,
9,11,PANKOV Pavel,,,, ,
10,15,POLETAEV Victor,,,, ,
11,27,GOLUBEV Valentin,,,, ,
12,ls,,7.0,30,28,65,1.75
