,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0, 2,KADHI Ahmed,2.0,9,4,15,0.67
1,15,BEN TARA Wassim,2.0,1,2,5,0.67
2,11,MOALLA Ismail,1.0,, 1,2,0.33
3, 9,AGREBI Omar,, 6,1,7,0.0
4, 3,BEN SLIMENE Khaled,,, 5,5,0.0
5, 6,BEN OTHMEN MILADI Mohamed Ali,, 3,2,5,0.0
6,10,NAGGA Hamza,, 2,, 2,0.0
7, 7,KARAMOSLI Elyes,, 1,, 1,0.0
8,12,BEN CHEIKH Mehdi,,,, ,
9,13,MBAREKI Selim,,,, ,
10,19,BOUGUERRA Aymen,,,, ,
11,20,HMISSI Saddem,,,, ,
12,ls,,5.0,22,15,42,1.67
