No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 6,GIANNELLI Simone,51,1.0,29,81,12.75
 9,ZAYTSEV Ivan,2,, 2,4,0.5
13,COLACI Massimo,1,, 2,3,0.25
 5,JUANTORENA Osmany,1,,, 1,0.25
14,GALASSI Gianluca,,, 1,1,0.0
17,ANZANI Simone,,, 1,1,0.0
18,MICHIELETTO Alessandro,,, 1,1,0.0
2,KOVAR Jiri,,,, ,
4,VETTORI Luca,,,, ,
11,PIANO Matteo,,,, ,
15,SBERTOLI Riccardo,,,, ,
19,LAVIA Daniele,,,, ,
ls,,55,1.0,36,92,13.75
