No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 5,JUANTORENA Osmany,12,3.0,, 15,3.0
13,COLACI Massimo,10,7.0,, 17,2.5
18,MICHIELETTO Alessandro,7,4.0,, 11,1.75
 6,GIANNELLI Simone,5,6.0,3,14,1.25
17,ANZANI Simone,2,1.0,, 3,0.5
15,SBERTOLI Riccardo,1,,-, 1,0.25
 9,ZAYTSEV Ivan,,1.0,1,2,0.0
 4,VETTORI Luca,,,- 1,1,0.0
14,GALASSI Gianluca,,1.0,, 1,0.0
2,KOVAR Jiri,,,-, ,
11,PIANO Matteo,,,-, ,
19,LAVIA Daniele,,,-, ,
ls,,37,23.0,5,65,9.25
