,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0, 4,PATRY Jean,3.0,3,1,7,0.75
1,14,le GOFF Nicolas,2.0,6,7,15,0.5
2, 1,CHINENYEZE Barthelemy,2.0,5,1,8,0.5
3, 9,NGAPETH Earvin,1.0,2,3,6,0.25
4,12,BOYER Stephen,1.0,,, 1,0.25
5, 6,TONIUTTI Benjamin,, 4,4,8,0.0
6,17,CLEVENOT Trevor,, 2,2,4,0.0
7,2,GREBENNIKOV Jenia,,,, ,
8,7,TILLIE Kevin,,,, ,
9,11,BRIZARD Antoine,,,, ,
10,16,BULTOR Daryl,,,, ,
11,19,LOUATI Yacine,,,, ,
12,ls,,9.0,22,18,49,2.25
