No.,Name,Points,Errors,In-Play,Attempts,%
17,SALEHI Meisam,12.0,, 5,17,70.59
10,GHAFOUR Amir,13.0,3,6,22,45.45
 2,EBADIPOUR GHARA H. Milad,6.0,4,3,13,15.38
9,GHOLAMI Masoud,3.0,2,2,7,
15,MOJARAD Aliasghar,4.0,1,, 5,
4,MAROUFLAKRANI Mir Saeid,,- 1,1,2,
12,SHARIFI Morteza,1.0,,, 1,
6,MOUSAVI ERAGHI Seyed Mohammad,,-,, ,
11,KAZEMI Saber,,-,, ,
19,MARANDI Mahdi,,-,, ,
21,SALEHI Arman,,-,, ,
24,KARIMISOUCHELMAEI Javad,,-,, ,
ls,,39.0,11,17,67,41.79
