,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0, 1,ANDERSON Matthew,11,4.0,3,18,2.75
1,22,SHOJI Erik,6,6.0,1,13,1.5
2, 8,DEFALCO Torey,5,6.0,6,17,1.25
3, 3,SANDER Taylor,4,5.0,, 9,1.0
4,12,HOLT Maxwell,3,2.0,, 5,0.75
5,11,CHRISTENSON Micah,2,4.0,4,10,0.5
6, 6,STAHL Mitchell,1,2.0,, 3,0.25
7,20,SMITH David,,1.0,, 1,0.0
8,5,ENSING Kyle,,,, ,
9,7,SHOJI Kawika,,,, ,
10,17,JAESCHKE Thomas,,,, ,
11,18,MUAGUTUTIA Garrett,,,, ,
12,ls,,32,30.0,14,76,8.0
