,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0, 9,NGAPETH Earvin,7,3.0,2,12,1.4
1,11,BRIZARD Antoine,4,4.0,3,11,0.8
2,17,CLEVENOT Trevor,4,5.0,, 9,0.8
3, 2,GREBENNIKOV Jenia,3,6.0,3,12,0.6
4, 4,PATRY Jean,3,7.0,1,11,0.6
5, 6,TONIUTTI Benjamin,2,2.0,, 4,0.4
6, 1,CHINENYEZE Barthelemy,1,2.0,1,4,0.2
7,14,le GOFF Nicolas,1,3.0,, 4,0.2
8,7,TILLIE Kevin,,,, ,
9,12,BOYER Stephen,,,, ,
10,16,BULTOR Daryl,,,, ,
11,19,LOUATI Yacine,,,, ,
12,ls,,25,32.0,10,67,5.0
