,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0, 4,MAROUFLAKRANI Mir Saeid,22,, 30,52,5.5
1,24,KARIMISOUCHELMAEI Javad,20,1.0,13,34,5.0
2,19,MARANDI Mahdi,2,, 4,6,0.5
3, 6,MOUSAVI ERAGHI Seyed Mohammad,2,, 2,4,0.5
4, 2,EBADIPOUR GHARA H. Milad,2,, 1,3,0.5
5,21,SALEHI Arman,1,,, 1,0.25
6,12,SHARIFI Morteza,,, 1,1,0.0
7,15,MOJARAD Aliasghar,,, 1,1,0.0
8,17,SALEHI Meisam,,, 1,1,0.0
9,9,GHOLAMI Masoud,,,, ,
10,10,GHAFOUR Amir,,,, ,
11,11,KAZEMI Saber,,,, ,
12,ls,,49,1.0,53,103,12.25
