No.,Name,Points,Errors,In-Play,Total Attempts,by Set
11,CHRISTENSON Micah,2.0,5,5,12,0.5
 3,SANDER Taylor,2.0,, 2,4,0.5
20,SMITH David,1.0,3,5,9,0.25
12,HOLT Maxwell,1.0,5,3,9,0.25
 1,ANDERSON Matthew,, 1,2,3,0.0
18,MUAGUTUTIA Garrett,,, 2,2,0.0
22,SHOJI Erik,,, 1,1,0.0
 6,STAHL Mitchell,, 1,, 1,0.0
 8,DEFALCO Torey,, 1,, 1,0.0
5,ENSING Kyle,,,, ,
7,SHOJI Kawika,,,, ,
17,JAESCHKE Thomas,,,, ,
ls,,6.0,16,20,42,1.5
