No.,Name,Points,Errors,In-Play,Total Attempts,by Set
 3,SANDER Taylor,1.0,5,14,20,0.25
 1,ANDERSON Matthew,1.0,4,12,17,0.25
12,HOLT Maxwell,1.0,5,11,17,0.25
11,CHRISTENSON Micah,1.0,3,10,14,0.25
 8,DEFALCO Torey,1.0,1,6,8,0.25
20,SMITH David,, 3,5,8,0.0
 6,STAHL Mitchell,, 3,4,7,0.0
18,MUAGUTUTIA Garrett,, 1,4,5,0.0
17,JAESCHKE Thomas,,, 1,1,0.0
5,ENSING Kyle,,,, ,
7,SHOJI Kawika,,,, ,
22,SHOJI Erik,,,, ,
ls,,5.0,25,67,97,1.25
