,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0,20,HMISSI Saddem,11,11.0,4,26,2.2
1, 6,BEN OTHMEN MILADI Mohamed Ali,4,3.0,1,8,0.8
2,11,MOALLA Ismail,3,5.0,2,10,0.6
3,15,BEN TARA Wassim,2,5.0,1,8,0.4
4, 3,BEN SLIMENE Khaled,2,1.0,1,4,0.4
5, 7,KARAMOSLI Elyes,1,,, 1,0.2
6, 9,AGREBI Omar,,1.0,, 1,0.0
7,12,BEN CHEIKH Mehdi,,1.0,, 1,0.0
8,13,MBAREKI Selim,,1.0,, 1,0.0
9,2,KADHI Ahmed,,,, ,
10,10,NAGGA Hamza,,,, ,
11,19,BOUGUERRA Aymen,,,, ,
12,ls,,23,28.0,9,60,4.6
