,TotalRk No.,Name,Excellents,Errors,In-Play,Attempts,%
0,14,SLIWKA Aleksander,9,, 6,15,60.0
1, 9,LEON VENERO Wilfredo,11,, 14,25,44.0
2,17,ZATORSKI Pawel,9,1.0,4,14,
3,11,DRZYZGA Fabian,,, 1,1,
4,15,KOCHANOWSKI Jakub,1,,, 1,
5,16,SEMENIUK Kamil,1,,, 1,
6,1,NOWAKOWSKI Piotr,,,, ,
7,5,KACZMAREK Lukasz,,,, ,
8,6,KUREK Bartosz,,,, ,
9,12,LOMACZ Grzegorz,,,, ,
10,13,KUBIAK Michal,,,, ,
11,20,BIENIEK Mateusz,,,, ,
12,ls,,31,1.0,25,57,54.39
