No.,Name,Points,Errors,In-Play,Attempts,%
12,LIMA Bruno,22.0,7,10,39,38.46
13,PALACIOS Ezequiel,18.0,4,18,40,35.0
 7,CONTE Facundo,14.0,6,7,27,29.63
8,LOSER Agustin,9.0,1,5,15,
11,SOLE Sebastian,3.0,2,4,9,
15,de CECCO Luciano,1.0,, 1,2,
2,PEREYRA Federico,1.0,1,, 2,
6,POGLAJEN Cristian,, 1,, 1,
1,SANCHEZ Matias,,,, ,
9,DANANI Santiago,,,, ,
17,MENDEZ Nicolas,,,, ,
18,RAMOS Martin,,,, ,
ls,,68.0,22,45,135,34.07
