No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
11,CHRISTENSON Micah,47,, 46,93,11.75
 8,DEFALCO Torey,2,, 3,5,0.5
20,SMITH David,1,, 2,3,0.25
22,SHOJI Erik,1,, 2,3,0.25
12,HOLT Maxwell,1,, 1,2,0.25
 1,ANDERSON Matthew,,, 4,4,0.0
 3,SANDER Taylor,,, 3,3,0.0
18,MUAGUTUTIA Garrett,,, 3,3,0.0
5,ENSING Kyle,,,, ,
6,STAHL Mitchell,,,, ,
7,SHOJI Kawika,,,, ,
17,JAESCHKE Thomas,,,, ,
ls,,52,,64,116,13.0
