,TotalRk No.,Name,Points,Errors,In-Play,Attempts,%
0,17,CLEVENOT Trevor,20.0,3,7,30,56.67
1, 4,PATRY Jean,17.0,5,11,33,36.36
2, 9,NGAPETH Earvin,14.0,9,8,31,16.13
3,14,le GOFF Nicolas,6.0,1,3,10,
4,1,CHINENYEZE Barthelemy,4.0,2,2,8,
5,11,BRIZARD Antoine,1.0,,, 1,
6,2,GREBENNIKOV Jenia,,,, ,
7,6,TONIUTTI Benjamin,,,, ,
8,7,TILLIE Kevin,,,, ,
9,12,BOYER Stephen,,,, ,
10,16,BULTOR Daryl,,,, ,
11,19,LOUATI Yacine,,,, ,
12,ls,,62.0,20,31,113,37.17
