No.,Name,Excellents,Errors,In-Play,Attempts,%
 2,PERRIN John Gordon,12,2.0,11,25,48.0
7,MAAR Stephen Timothy,14,, 3,17,
19,BANN Blair Cameron,9,1.0,5,15,
4,HOAG Nicholas,7,, 7,14,
9,BLANKENAU Jay,1,,, 1,
12,van BERKEL Lucas,1,,, 1,
17,VIGRASS Graham,1,,, 1,
1,SANDERS Tyler,,,, ,
3,MARSHALL Steven,,,, ,
10,SCLATER Ryan Joseph,,,, ,
13,VERNONEVANS Sharone,,,, ,
20,SZWARC Arthur,,,, ,
ls,,45,3.0,26,74,60.81
