No.,Name,Excellents,Errors,In-Play,Attempts,%
 7,CONTE Facundo,22,2.0,16,40,55.0
13,PALACIOS Ezequiel,7,, 14,21,
9,DANANI Santiago,12,2.0,5,19,
11,SOLE Sebastian,2,, 1,3,
6,POGLAJEN Cristian,,, 2,2,
12,LIMA Bruno,1,,, 1,
1,SANCHEZ Matias,,,, ,
2,PEREYRA Federico,,,, ,
8,LOSER Agustin,,,, ,
15,de CECCO Luciano,,,, ,
17,MENDEZ Nicolas,,,, ,
18,RAMOS Martin,,,, ,
ls,,44,4.0,38,86,51.16
