,TotalRk No.,Name,Points,Errors,In-Play,Attempts,%
0, 7,VOLKOV Dmitry,13.0,3,9,25,40.0
1,17,MIKHAYLOV Maxim,14.0,3,11,28,39.29
2,18,KLIUKA Egor,6.0,1,6,13,38.46
3,9,IAKOVLEV Ivan,6.0,1,, 7,
4,4,VOLVICH Artem,4.0,2,1,7,
5,24,KOBZAR Igor,1.0,, 2,3,
6,1,PODLESNYKH Yaroslav,,,, ,
7,10,BOGDAN Denis,,,, ,
8,11,PANKOV Pavel,,,, ,
9,15,POLETAEV Victor,,,, ,
10,20,KURKAEV Ilyas,,,, ,
11,27,GOLUBEV Valentin,,,, ,
12,ls,,44.0,10,29,83,40.96
