No.,Name,Points,Errors,In-Play,Attempts,%
 7,CONTE Facundo,12.0,4,7,23,34.78
12,LIMA Bruno,8.0,5,6,19,15.79
8,LOSER Agustin,7.0,, 3,10,
6,POGLAJEN Cristian,4.0,4,2,10,
11,SOLE Sebastian,1.0,2,4,7,
13,PALACIOS Ezequiel,, 1,5,6,
15,de CECCO Luciano,2.0,, 1,3,
2,PEREYRA Federico,,, 1,1,
1,SANCHEZ Matias,,,, ,
9,DANANI Santiago,,,, ,
17,MENDEZ Nicolas,,,, ,
18,RAMOS Martin,,,, ,
ls,,34.0,16,29,79,22.78
