,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0, 6,GIANNELLI Simone,51,1.0,29,81,12.75
1, 9,ZAYTSEV Ivan,2,, 2,4,0.5
2,13,COLACI Massimo,1,, 2,3,0.25
3, 5,JUANTORENA Osmany,1,,, 1,0.25
4,14,GALASSI Gianluca,,, 1,1,0.0
5,17,ANZANI Simone,,, 1,1,0.0
6,18,MICHIELETTO Alessandro,,, 1,1,0.0
7,2,KOVAR Jiri,,,, ,
8,4,VETTORI Luca,,,, ,
9,11,PIANO Matteo,,,, ,
10,15,SBERTOLI Riccardo,,,, ,
11,19,LAVIA Daniele,,,, ,
12,ls,,55,1.0,36,92,13.75
