,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0, 1,REZENDE Bruno Mossa,39,, 22,61,13.0
1, 6,GIL KRELING Fernando,6,, 4,10,2.0
2, 8,De SOUZA Wallace,2,, 1,3,0.67
3,18,SOUZA Ricardo Lucarelli,,, 3,3,0.0
4, 9,LEAL HIDALGO Yoandy,,, 1,1,0.0
5,13,De SOUZA Mauricio Luiz,,, 1,1,0.0
6,16,SAATKAMP Lucas,,, 1,1,0.0
7,17,HOSS Thales,,, 1,1,0.0
8,5,BORGES ALMEIDA SILVA Mauricio,,,, ,
9,12,SANTOS Isac,,,, ,
10,14,CORREIA De SOUZA Douglas,,,, ,
11,21,SOUZA Alan,,,, ,
12,ls,,47,,34,81,15.67
