No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 2,GREBENNIKOV Jenia,5,10.0,3,18,1.67
 4,PATRY Jean,3,5.0,2,10,1.0
12,BOYER Stephen,2,5.0,1,8,0.67
11,BRIZARD Antoine,2,5.0,, 7,0.67
 7,TILLIE Kevin,1,3.0,, 4,0.33
 9,NGAPETH Earvin,,2.0,1,3,0.0
 1,CHINENYEZE Barthelemy,,2.0,, 2,0.0
 6,TONIUTTI Benjamin,,2.0,, 2,0.0
14,le GOFF Nicolas,,2.0,, 2,0.0
17,CLEVENOT Trevor,,1.0,, 1,0.0
16,BULTOR Daryl,,,, ,
19,LOUATI Yacine,,,, ,
ls,,13,37.0,7,57,4.33
