,TotalRk No.,Name,Excellents,Errors,In-Play,Attempts,%
0, 2,EBADIPOUR GHARA H. Milad,17,3.0,13,33,51.52
1,19,MARANDI Mahdi,13,, 14,27,48.15
2,17,SALEHI Meisam,6,3.0,8,17,
3,6,MOUSAVI ERAGHI Seyed Mohammad,,, 2,2,
4,10,GHAFOUR Amir,,, 1,1,
5,4,MAROUFLAKRANI Mir Saeid,,,, ,
6,9,GHOLAMI Masoud,,,, ,
7,11,KAZEMI Saber,,,, ,
8,12,SHARIFI Morteza,,,, ,
9,15,MOJARAD Aliasghar,,,, ,
10,21,SALEHI Arman,,,, ,
11,24,KARIMISOUCHELMAEI Javad,,,, ,
12,ls,,36,6.0,38,80,45.0
