,TotalRk No.,Name,Excellents,Errors,In-Play,Attempts,%
0,18,MICHIELETTO Alessandro,9,1.0,8,18,50.0
1, 5,JUANTORENA Osmany,7,3.0,8,18,38.89
2,13,COLACI Massimo,9,3.0,2,14,
3,9,ZAYTSEV Ivan,3,1.0,1,5,
4,19,LAVIA Daniele,3,, 1,4,
5,17,ANZANI Simone,2,,, 2,
6,2,KOVAR Jiri,1,,, 1,
7,11,PIANO Matteo,1,,, 1,
8,4,VETTORI Luca,,,, ,
9,6,GIANNELLI Simone,,,, ,
10,14,GALASSI Gianluca,,,, ,
11,15,SBERTOLI Riccardo,,,, ,
12,ls,,35,8.0,20,63,55.56
