No.,Name,Points,Errors,In-Play,Attempts,%
10,SCLATER Ryan Joseph,12.0,1,6,19,57.89
 2,PERRIN John Gordon,11.0,3,13,27,29.63
 4,HOAG Nicholas,9.0,6,10,25,12.0
12,van BERKEL Lucas,8.0,1,1,10,
17,VIGRASS Graham,4.0,1,, 5,
13,VERNONEVANS Sharone,1.0,1,2,4,
1,SANDERS Tyler,,, 1,1,
3,MARSHALL Steven,,,, ,
7,MAAR Stephen Timothy,,,, ,
9,BLANKENAU Jay,,,, ,
19,BANN Blair Cameron,,,, ,
20,SZWARC Arthur,,,, ,
ls,,45.0,13,33,91,35.16
