,TotalRk No.,Name,Excellents,Errors,In-Play,Attempts,%
0, 6,BEN OTHMEN MILADI Mohamed Ali,18,1.0,8,27,66.67
1,20,HMISSI Saddem,13,2.0,8,23,56.52
2,11,MOALLA Ismail,8,2.0,8,18,
3,9,AGREBI Omar,,1.0,2,3,
4,15,BEN TARA Wassim,,, 2,2,
5,2,KADHI Ahmed,,, 1,1,
6,3,BEN SLIMENE Khaled,,,, ,
7,7,KARAMOSLI Elyes,,,, ,
8,10,NAGGA Hamza,,,, ,
9,12,BEN CHEIKH Mehdi,,,, ,
10,13,MBAREKI Selim,,,, ,
11,19,BOUGUERRA Aymen,,,, ,
12,ls,,39,6.0,29,74,52.7
