No.,Name,Points,Errors,In-Play,Total Attempts,by Set
11,PANKOV Pavel,3.0,3,5,11,0.75
 7,VOLKOV Dmitry,2.0,6,9,17,0.5
18,KLIUKA Egor,1.0,5,10,16,0.25
15,POLETAEV Victor,1.0,1,5,7,0.25
17,MIKHAYLOV Maxim,, 2,13,15,0.0
 4,VOLVICH Artem,, 1,10,11,0.0
24,KOBZAR Igor,, 1,7,8,0.0
 9,IAKOVLEV Ivan,, 3,5,8,0.0
 1,PODLESNYKH Yaroslav,,, 3,3,0.0
10,BOGDAN Denis,, 1,, 1,0.0
20,KURKAEV Ilyas,,,, ,
27,GOLUBEV Valentin,,,, ,
ls,,7.0,23,67,97,1.75
