,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0, 8,LOSER Agustin,4.0,7,8,19,0.8
1,11,SOLE Sebastian,3.0,10,6,19,0.6
2,12,LIMA Bruno,2.0,9,4,15,0.4
3, 7,CONTE Facundo,1.0,4,2,7,0.2
4,13,PALACIOS Ezequiel,1.0,1,2,4,0.2
5,15,de CECCO Luciano,, 1,3,4,0.0
6, 1,SANCHEZ Matias,, 1,, 1,0.0
7,2,PEREYRA Federico,,,, ,
8,6,POGLAJEN Cristian,,,, ,
9,9,DANANI Santiago,,,, ,
10,17,MENDEZ Nicolas,,,, ,
11,18,RAMOS Martin,,,, ,
12,ls,,11.0,33,25,69,2.2
