,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0,15,MOJARAD Aliasghar,2.0,7,, 9,0.67
1, 6,MOUSAVI ERAGHI Seyed Mohammad,1.0,3,5,9,0.33
2,17,SALEHI Meisam,1.0,3,3,7,0.33
3, 2,EBADIPOUR GHARA H. Milad,1.0,1,1,3,0.33
4,10,GHAFOUR Amir,, 2,3,5,0.0
5, 4,MAROUFLAKRANI Mir Saeid,, 2,2,4,0.0
6,11,KAZEMI Saber,, 1,, 1,0.0
7,9,GHOLAMI Masoud,,,-, ,
8,12,SHARIFI Morteza,,,-, ,
9,19,MARANDI Mahdi,,,-, ,
10,21,SALEHI Arman,,,-, ,
11,24,KARIMISOUCHELMAEI Javad,,,-, ,
12,ls,,5.0,19,14,38,1.67
