,TotalRk No.,Name,Excellents,Errors,In-Play,Attempts,%
0,19,BANN Blair Cameron,8,4.0,9,21,38.1
1,2,PERRIN John Gordon,3,2.0,5,10,
2,4,HOAG Nicholas,4,, 4,8,
3,3,MARSHALL Steven,5,, 2,7,
4,7,MAAR Stephen Timothy,,1.0,5,6,
5,17,VIGRASS Graham,3,, 1,4,
6,12,van BERKEL Lucas,,, 1,1,
7,13,VERNONEVANS Sharone,,, 1,1,
8,1,SANDERS Tyler,,,, ,
9,9,BLANKENAU Jay,,,, ,
10,10,SCLATER Ryan Joseph,,,, ,
11,20,SZWARC Arthur,,,, ,
12,ls,,23,7.0,28,58,39.66
