No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 9,DANANI Santiago,8,5.0,, 13,2.67
13,PALACIOS Ezequiel,7,5.0,, 12,2.33
 7,CONTE Facundo,5,2.0,1,8,1.67
11,SOLE Sebastian,5,2.0,, 7,1.67
15,de CECCO Luciano,3,6.0,, 9,1.0
12,LIMA Bruno,3,4.0,, 7,1.0
 8,LOSER Agustin,1,4.0,, 5,0.33
 1,SANCHEZ Matias,1,,-, 1,0.33
2,PEREYRA Federico,,,-, ,
6,POGLAJEN Cristian,,,-, ,
17,MENDEZ Nicolas,,,-, ,
18,RAMOS Martin,,,-, ,
ls,,33,28.0,1,62,11.0
