,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0, 1,SANDERS Tyler,44,, 46,90,8.8
1, 9,BLANKENAU Jay,7,, 1,8,1.4
2, 2,PERRIN John Gordon,2,, 1,3,0.4
3,19,BANN Blair Cameron,1,, 6,7,0.2
4, 4,HOAG Nicholas,1,, 1,2,0.2
5,10,SCLATER Ryan Joseph,,, 1,1,0.0
6,12,van BERKEL Lucas,,, 1,1,0.0
7,3,MARSHALL Steven,,,, ,
8,7,MAAR Stephen Timothy,,,, ,
9,13,VERNONEVANS Sharone,,,, ,
10,17,VIGRASS Graham,,,, ,
11,20,SZWARC Arthur,,,, ,
12,ls,,55,,57,112,11.0
