,TotalRk No.,Name,Points,Errors,In-Play,Attempts,%
0,11,MOALLA Ismail,7.0,2,7,16,31.25
1,15,BEN TARA Wassim,13.0,6,9,28,25.0
2,6,BEN OTHMEN MILADI Mohamed Ali,4.0,4,4,12,
3,19,BOUGUERRA Aymen,2.0,1,4,7,
4,2,KADHI Ahmed,2.0,, 3,5,
5,9,AGREBI Omar,2.0,, 2,4,
6,3,BEN SLIMENE Khaled,1.0,, 2,3,
7,7,KARAMOSLI Elyes,,,, ,
8,10,NAGGA Hamza,,,, ,
9,12,BEN CHEIKH Mehdi,,,, ,
10,13,MBAREKI Selim,,,, ,
11,20,HMISSI Saddem,,,, ,
12,ls,,31.0,13,31,75,24.0
