,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0, 3,BEN SLIMENE Khaled,10,4.0,1,15,2.5
1,11,MOALLA Ismail,4,4.0,1,9,1.0
2,20,HMISSI Saddem,3,10.0,2,15,0.75
3,10,NAGGA Hamza,2,,, 2,0.5
4, 6,BEN OTHMEN MILADI Mohamed Ali,1,5.0,1,7,0.25
5,15,BEN TARA Wassim,,4.0,2,6,0.0
6, 2,KADHI Ahmed,,2.0,, 2,0.0
7, 9,AGREBI Omar,,1.0,, 1,0.0
8,13,MBAREKI Selim,,1.0,, 1,0.0
9,7,KARAMOSLI Elyes,,,, ,
10,12,BEN CHEIKH Mehdi,,,, ,
11,19,BOUGUERRA Aymen,,,, ,
12,ls,,20,31.0,7,58,5.0
