,TotalRk No.,Name,Excellents,Errors,In-Play,Attempts,%
0, 7,CONTE Facundo,15,1.0,12,28,53.57
1,13,PALACIOS Ezequiel,12,2.0,11,25,48.0
2,9,DANANI Santiago,11,, 6,17,
3,8,LOSER Agustin,3,, 1,4,
4,15,de CECCO Luciano,,, 1,1,
5,1,SANCHEZ Matias,,,, ,
6,2,PEREYRA Federico,,,, ,
7,6,POGLAJEN Cristian,,,, ,
8,11,SOLE Sebastian,,,, ,
9,12,LIMA Bruno,,,, ,
10,17,MENDEZ Nicolas,,,, ,
11,18,RAMOS Martin,,,, ,
12,ls,,41,3.0,31,75,54.67
