No.,Name,Points,Errors,In-Play,Total Attempts,by Set
20,BIENIEK Mateusz,2.0,5,4,11,0.5
11,DRZYZGA Fabian,1.0,6,1,8,0.25
15,KOCHANOWSKI Jakub,1.0,1,4,6,0.25
 5,KACZMAREK Lukasz,1.0,1,, 2,0.25
13,KUBIAK Michal,, 2,3,5,0.0
16,SEMENIUK Kamil,, 3,1,4,0.0
17,ZATORSKI Pawel,,, 1,1,0.0
 6,KUREK Bartosz,, 1,, 1,0.0
1,NOWAKOWSKI Piotr,,,, ,
9,LEON VENERO Wilfredo,,,, ,
12,LOMACZ Grzegorz,,,, ,
14,SLIWKA Aleksander,,,, ,
ls,,5.0,19,14,38,1.25
