No.,Name,Excellents,Errors,In-Play,Attempts,%
27,GOLUBEV Valentin,25,1.0,13,39,64.1
18,KLIUKA Egor,11,, 8,19,
7,VOLKOV Dmitry,7,, 2,9,
1,PODLESNYKH Yaroslav,5,, 1,6,
17,MIKHAYLOV Maxim,3,,, 3,
9,IAKOVLEV Ivan,2,,, 2,
10,BOGDAN Denis,,, 1,1,
24,KOBZAR Igor,,, 1,1,
4,VOLVICH Artem,,,, ,
11,PANKOV Pavel,,,, ,
15,POLETAEV Victor,,,, ,
20,KURKAEV Ilyas,,,, ,
ls,,53,1.0,26,80,66.25
