,TotalRk No.,Name,Excellents,Errors,In-Play,Attempts,%
0, 2,EBADIPOUR GHARA H. Milad,40,4.0,13,57,70.18
1,17,SALEHI Meisam,8,, 8,16,
2,19,MARANDI Mahdi,12,2.0,1,15,
3,6,MOUSAVI ERAGHI Seyed Mohammad,1,, 1,2,
4,15,MOJARAD Aliasghar,1,,, 1,
5,21,SALEHI Arman,,, 1,1,
6,24,KARIMISOUCHELMAEI Javad,,1.0,, 1,
7,4,MAROUFLAKRANI Mir Saeid,,,, ,
8,9,GHOLAMI Masoud,,,, ,
9,10,GHAFOUR Amir,,,, ,
10,11,KAZEMI Saber,,,, ,
11,12,SHARIFI Morteza,,,, ,
12,ls,,62,7.0,24,93,66.67
